ID,Education,Group_Age,Marital_Status,Income,Income_Class,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,NumOfPurchases,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Accepted_Rate,num_children,total_Mnt,has_children,AcceptedCmp6,Age_Group,Frequency,Monetary,Income_Score,R,F,M,I,RFMI_SCORE,RFMI_score,RFMI_Segment
2569,Middle Education,Young,Married,17323.0,Lower,0,0,10-10-2012,38,3,14,17,6,1,5,1,1,0,3,8,0,0,4,0,0,0,0,0,37,0,0,46,0,0,Young,5,46,1,4,1,1,1,4111,4111,High
2114,High Education,Old,Single,82800.0,Upper,0,0,24-11-2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,25,1,1,0,0,1,78,3,0,1315,0,1,Old,26,1315,5,4,5,5,5,4555,4555,High
9736,Middle Education,Young,Married,41850.0,Middle,1,1,24-12-2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,6,0,0,0,0,0,44,0,2,96,1,0,Young,9,96,2,3,2,2,2,3222,3222,High
4939,Middle Education,Old,Together,37760.0,Middle,0,0,31-08-2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,11,0,0,0,0,0,78,0,0,317,0,0,Old,13,317,2,4,3,3,2,4332,4332,High
6565,High Education,Old,Married,76995.0,Upper,0,1,28-03-2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,24,0,1,0,0,0,75,1,1,1782,1,0,Old,26,1782,5,1,5,5,5,1555,1555,Low
2278,Low Education,Young,Single,33812.0,Lower,1,0,03-11-2012,86,4,17,19,30,24,39,2,2,1,3,6,0,0,6,0,0,0,0,0,39,0,1,133,1,0,Young,8,133,2,1,2,2,2,1222,1222,Low
9360,Middle Education,Young,Married,37040.0,Middle,0,0,08-08-2012,41,86,2,73,69,38,48,1,4,2,5,8,0,0,11,0,0,0,0,0,42,0,0,316,0,0,Young,12,316,2,3,2,3,2,3232,3232,High
1993,High Education,Old,Married,58607.0,Middle,0,1,23-12-2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,14,0,0,0,0,0,75,1,1,972,1,0,Old,17,972,4,2,3,4,4,2344,2344,Medium
4047,High Education,Old,Married,65324.0,Middle,0,1,11-01-2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,17,0,0,0,0,0,70,0,1,544,1,0,Old,20,544,4,5,4,3,4,5434,5434,High
1409,Middle Education,Old,Together,40689.0,Middle,0,1,18-03-2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,13,0,0,0,0,0,73,0,1,444,1,0,Old,20,444,2,2,4,3,2,2432,2432,Medium
7892,Middle Education,Adult,Single,18589.0,Lower,0,0,02-01-2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,6,0,0,0,0,0,55,0,0,75,0,0,Adult,8,75,1,1,2,2,1,1221,1221,Low
2404,Middle Education,Adult,Married,53359.0,Middle,1,1,27-05-2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,10,0,0,0,0,0,48,0,2,257,1,0,Adult,14,257,3,5,3,3,3,5333,5333,High
9422,Middle Education,Young,Married,38360.0,Middle,1,0,31-05-2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,7,0,0,0,0,0,35,0,1,131,1,0,Young,9,131,2,4,2,2,2,4222,4222,High
1966,High Education,Adult,Married,84618.0,Upper,0,0,22-11-2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,25,1,0,0,0,0,59,1,0,1672,0,0,Adult,26,1672,5,1,5,5,5,1555,1555,Low
6864,High Education,Young,Single,10979.0,Lower,0,0,22-05-2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,6,0,0,0,0,0,35,0,0,30,0,0,Young,8,30,1,4,2,1,1,4211,4211,High
3033,High Education,Old,Together,38620.0,Middle,0,0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,10,0,0,0,0,0,61,0,0,318,0,0,Old,11,318,2,3,2,3,2,3232,3232,High
5710,Middle Education,Adult,Together,40548.0,Middle,0,1,10-10-2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,7,0,0,0,0,0,54,1,1,120,1,0,Adult,9,120,2,4,2,2,2,4222,4222,High
7373,High Education,Old,Single,46610.0,Middle,0,2,29-10-2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,11,0,0,0,0,1,72,1,2,302,1,1,Old,17,302,3,5,3,3,3,5333,5333,High
8755,High Education,Old,Married,68657.0,Upper,0,0,20-02-2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,17,0,0,0,0,0,78,0,0,1196,0,0,Old,18,1196,4,5,4,5,4,5454,5454,High
10738,High Education,Old,Single,49389.0,Middle,1,1,29-08-2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,5,0,0,0,0,0,73,0,2,65,1,0,Old,6,65,3,3,1,2,3,3123,3123,High
4339,High Education,Adult,Married,67353.0,Middle,0,1,31-12-2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,23,0,0,0,0,0,54,0,1,913,1,0,Adult,28,913,4,4,5,4,4,4544,4544,High
10755,Low Education,Adult,Married,23718.0,Lower,1,0,02-09-2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,6,0,0,0,0,0,48,0,1,81,1,0,Adult,9,81,1,2,2,2,1,2221,2221,Medium
8595,Middle Education,Adult,Single,42429.0,Middle,0,1,11-02-2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,5,0,0,0,0,0,51,0,1,67,1,0,Adult,7,67,2,1,1,2,2,1122,1122,Low
2968,High Education,Old,Single,48948.0,Middle,0,0,01-02-2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,22,0,0,0,0,1,81,2,0,902,0,1,Old,24,902,3,3,5,4,3,3543,3543,High
8601,Middle Education,Young,Married,80011.0,Upper,0,1,29-04-2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,19,0,0,0,0,0,44,0,1,1395,1,0,Young,21,1395,5,5,4,5,5,5455,5455,High
503,High Education,Young,Married,20559.0,Lower,1,0,12-03-2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,5,0,0,0,0,0,39,0,1,53,1,0,Young,7,53,1,1,1,1,1,1111,1111,Low
8430,Middle Education,Old,Together,21994.0,Lower,0,1,24-12-2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,3,0,0,0,0,0,67,0,1,22,1,0,Old,4,22,1,5,1,1,1,5111,5111,High
2139,High Education,Adult,Married,7500.0,Lower,1,0,02-10-2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,5,0,0,0,0,0,49,0,1,31,1,0,Adult,8,31,1,5,2,1,1,5211,5211,High
1371,Middle Education,Adult,Single,79941.0,Upper,0,0,28-06-2014,72,123,164,266,227,30,174,1,2,4,9,1,0,0,15,0,0,0,0,0,48,0,0,984,0,0,Adult,16,984,5,2,3,4,5,2345,2345,Medium
9909,Low Education,Young,Married,7500.0,Lower,0,0,09-11-2012,24,3,18,14,15,22,50,3,3,1,3,9,0,0,7,0,0,0,0,1,28,1,0,122,0,1,Young,10,122,1,4,2,2,1,4221,4221,High
7286,Middle Education,Adult,Together,41728.0,Middle,1,0,24-05-2013,92,13,6,15,3,5,13,1,2,0,2,10,0,0,4,0,0,0,0,0,56,0,1,55,1,0,Adult,5,55,2,1,1,1,2,1112,1112,Low
6566,High Education,Old,Married,72550.0,Upper,1,1,08-11-2012,39,826,50,317,50,38,38,9,5,2,12,8,0,0,19,0,0,0,0,0,70,0,2,1319,1,0,Old,28,1319,5,4,5,5,5,4555,4555,High
8614,Middle Education,Old,Single,65486.0,Middle,0,1,12-05-2014,29,245,19,125,37,67,14,1,4,2,10,2,0,0,16,0,0,0,0,0,67,0,1,507,1,0,Old,17,507,4,4,3,3,4,4334,4334,High
4114,High Education,Adult,Married,79143.0,Upper,0,0,11-08-2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,28,0,0,0,0,0,60,0,0,1693,0,0,Adult,29,1693,5,5,5,5,5,5555,5555,High
1331,Middle Education,Adult,Single,35790.0,Middle,1,0,02-01-2013,54,12,6,20,30,1,3,2,2,0,3,7,0,0,5,0,0,0,0,0,47,0,1,72,1,0,Adult,7,72,2,3,1,2,2,3122,3122,High
2225,Middle Education,Adult,Single,82582.0,Upper,0,0,07-06-2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,20,0,1,0,0,1,47,3,0,1617,0,1,Adult,21,1617,5,3,4,5,5,3455,3455,High
9381,Middle Education,Adult,Married,66373.0,Middle,1,1,12-06-2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,16,0,0,0,0,0,46,0,2,606,1,0,Adult,23,606,4,3,5,3,4,3534,3534,High
6260,High Education,Old,Together,82384.0,Upper,0,0,19-11-2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,26,1,0,0,0,1,69,2,0,1957,0,1,Old,27,1957,5,3,5,5,5,3555,3555,High
10383,Middle Education,Adult,Single,70287.0,Upper,0,0,02-04-2013,30,295,35,482,121,120,40,1,5,5,10,3,0,0,20,0,0,0,0,1,58,1,0,1093,0,1,Adult,21,1093,4,4,4,4,4,4444,4444,High
7437,Middle Education,Young,Single,27938.0,Lower,1,0,28-04-2014,31,13,0,8,2,1,5,1,1,0,4,3,0,0,5,0,0,0,0,0,36,0,1,29,1,0,Young,6,29,1,4,1,1,1,4111,4111,High
8375,High Education,Adult,Married,55954.0,Middle,0,1,03-03-2014,63,447,0,28,0,0,43,3,8,2,6,7,0,0,16,0,0,0,0,0,56,0,1,518,1,0,Adult,19,518,3,2,4,3,3,2433,2433,Medium
6853,High Education,Young,Single,75777.0,Upper,0,0,04-07-2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,20,1,0,0,0,1,42,3,0,1438,0,1,Young,21,1438,5,5,4,5,5,5455,5455,High
3076,Middle Education,Adult,Together,66653.0,Middle,1,1,07-09-2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,18,0,0,0,0,0,49,0,2,612,1,0,Adult,22,612,4,5,4,3,4,5434,5434,High
1012,Middle Education,Old,Single,61823.0,Middle,0,1,18-02-2013,26,523,7,134,37,14,169,4,8,2,10,7,0,0,20,0,0,0,0,0,72,0,1,884,1,0,Old,24,884,4,4,5,4,4,4544,4544,High
6518,High Education,Old,Single,67680.0,Middle,0,1,11-06-2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,18,0,0,0,0,0,73,0,1,606,1,0,Old,19,606,4,5,4,3,4,5434,5434,High
4137,Middle Education,Old,Together,70666.0,Upper,0,0,06-12-2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,15,0,0,0,0,0,76,0,0,1076,0,0,Old,16,1076,4,4,3,4,4,4344,4344,High
8082,Middle Education,Adult,Married,25721.0,Lower,1,0,21-05-2013,75,1,3,6,3,6,15,1,1,1,2,7,0,0,4,0,0,0,0,1,53,1,1,34,1,1,Adult,5,34,1,2,1,1,1,2111,2111,Medium
1386,Middle Education,Adult,Together,32474.0,Lower,1,1,11-05-2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,3,0,0,0,0,0,57,0,2,11,1,0,Adult,4,11,2,5,1,1,2,5112,5112,High
9369,Low Education,Adult,Single,88194.0,Upper,0,1,19-03-2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,31,0,1,0,0,1,45,3,1,1274,1,1,Adult,32,1274,5,5,5,5,5,5555,5555,High
4477,Middle Education,Old,Together,69096.0,Upper,0,1,27-09-2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,17,0,0,0,0,0,66,0,1,653,1,0,Old,18,653,4,5,4,4,4,5444,5444,High
1357,Middle Education,Adult,Together,74854.0,Upper,1,2,08-04-2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,12,0,0,0,0,0,54,0,3,1562,1,0,Adult,19,1562,5,1,4,5,5,1455,1455,Low
1402,High Education,Old,Married,66991.0,Middle,0,0,11-09-2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,18,0,0,0,0,0,70,0,0,1253,0,0,Old,21,1253,4,5,4,5,4,5454,5454,High
6312,Middle Education,Old,Married,65031.0,Middle,0,1,17-03-2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,26,0,0,0,0,0,65,0,1,863,1,0,Old,30,863,4,4,5,4,4,4544,4544,High
8132,High Education,Adult,Married,60631.0,Middle,1,1,05-04-2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,19,0,0,0,0,0,49,1,2,661,1,0,Adult,24,661,4,1,5,4,4,1544,1544,Low
1050,Middle Education,Old,Married,28332.0,Lower,0,0,30-04-2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,7,0,0,0,0,0,72,0,0,65,0,0,Old,8,65,1,3,2,2,1,3221,3221,High
5846,Middle Education,Adult,Single,40246.0,Middle,1,0,19-12-2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,3,0,0,0,0,0,47,0,1,13,1,0,Adult,4,13,2,2,1,1,2,2112,2112,Medium
1859,High Education,Adult,Married,75251.0,Upper,0,0,27-08-2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,18,0,0,0,0,1,52,1,0,1890,0,1,Adult,19,1890,5,4,4,5,5,4455,4455,High
7503,Middle Education,Adult,Single,75825.0,Upper,0,0,12-10-2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,22,0,0,0,0,1,48,2,0,2209,0,1,Adult,22,2209,5,3,4,5,5,3455,3455,High
10401,Low Education,Adult,Together,26326.0,Lower,0,0,04-09-2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,3,0,0,0,1,0,48,0,0,18,0,0,Adult,4,18,1,5,1,1,1,5111,5111,High
1618,Middle Education,Adult,Together,56046.0,Middle,0,0,02-01-2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,19,0,0,0,0,1,59,2,0,692,0,1,Adult,21,692,3,5,4,4,3,5443,5443,High
3332,Middle Education,Young,Single,29760.0,Lower,1,0,29-08-2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,8,0,0,0,0,0,39,0,1,165,1,0,Young,12,165,1,1,2,2,1,1221,1221,Low
2261,Middle Education,Adult,Married,26304.0,Lower,1,0,23-06-2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,3,0,0,0,0,0,55,0,1,16,1,0,Adult,4,16,1,5,1,1,1,5111,5111,High
5346,Low Education,Adult,Married,23559.0,Lower,1,0,03-07-2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,6,0,0,0,0,0,51,0,1,79,1,0,Adult,9,79,1,1,2,2,1,1221,1221,Low
4119,High Education,Old,Together,38620.0,Middle,0,0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,10,0,0,0,0,0,61,0,0,318,0,0,Old,11,318,2,3,2,3,2,3232,3232,High
535,Middle Education,Young,Single,81361.0,Upper,0,0,25-02-2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,26,0,0,0,0,0,37,0,0,778,0,0,Young,27,778,5,5,5,4,5,5545,5545,High
5268,Middle Education,Old,Married,29440.0,Lower,1,1,11-08-2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,5,0,0,0,0,0,64,0,2,56,1,0,Old,7,56,1,1,1,1,1,1111,1111,Low
273,High Education,Adult,Married,36138.0,Middle,1,1,16-07-2013,48,130,0,16,0,0,5,5,3,1,4,7,0,1,8,0,0,0,0,0,54,1,2,151,1,0,Adult,13,151,2,3,3,2,2,3322,3322,High
4452,Middle Education,Old,Single,50388.0,Middle,0,1,28-05-2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,13,0,1,0,0,1,67,3,1,372,1,1,Old,17,372,3,5,3,3,3,5333,5333,High
8504,Middle Education,Adult,Married,79593.0,Upper,0,0,12-05-2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,18,1,0,0,0,0,51,1,0,1366,0,0,Adult,19,1366,5,2,4,5,5,2455,2455,Medium
771,Middle Education,Adult,Together,54178.0,Middle,0,1,21-01-2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,9,0,0,0,0,0,57,0,1,194,1,0,Adult,10,194,3,2,2,2,3,2223,2223,Medium
11178,High Education,Adult,Single,42394.0,Middle,1,0,23-03-2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,4,0,0,0,0,0,52,0,1,32,1,0,Adult,5,32,2,2,1,1,2,2112,2112,Medium
2230,High Education,Adult,Married,23626.0,Lower,1,0,24-05-2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,7,0,0,0,0,0,54,0,1,43,1,0,Adult,10,43,1,1,2,1,1,1211,1211,Low
7516,Middle Education,Young,Married,30096.0,Lower,1,0,22-05-2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,5,0,0,0,0,0,41,0,1,45,1,0,Young,6,45,1,4,1,1,1,4111,4111,High
7247,Middle Education,Old,Single,47916.0,Middle,0,1,22-11-2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,17,0,0,0,0,0,64,1,1,606,1,0,Old,22,606,3,2,4,3,3,2433,2433,Medium
11100,Middle Education,Adult,Single,51813.0,Middle,1,1,11-04-2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,5,0,0,0,0,0,52,0,2,63,1,0,Adult,7,63,3,4,1,2,3,4123,4123,High
4646,Low Education,Old,Married,78497.0,Upper,0,0,01-12-2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,24,0,1,0,0,0,73,1,0,978,0,0,Old,25,978,5,3,5,4,5,3545,3545,High
3037,High Education,Young,Married,50150.0,Middle,0,0,20-06-2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,14,0,0,0,0,0,41,0,0,410,0,0,Young,16,410,3,4,3,3,3,4333,4333,High
1473,Low Education,Old,Single,47823.0,Middle,0,1,23-07-2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,5,0,0,0,0,0,64,0,1,72,1,0,Old,7,72,3,5,1,2,3,5123,5123,High
1016,High Education,Old,Single,34554.0,Lower,0,1,30-03-2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,5,0,0,0,0,0,65,0,1,55,1,0,Old,7,55,2,3,1,1,2,3112,3112,High
4518,Middle Education,Adult,Together,85693.0,Upper,0,1,20-04-2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,25,0,0,0,0,0,45,0,1,1169,1,0,Adult,27,1169,5,2,5,4,5,2545,2545,Medium
9370,High Education,Old,Married,65846.0,Middle,0,0,17-05-2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,15,0,0,0,0,0,79,0,0,1120,0,0,Old,16,1120,4,2,3,4,4,2344,2344,Medium
8908,Middle Education,Old,Married,87195.0,Upper,0,0,08-05-2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,19,0,0,0,0,1,65,1,0,1097,0,1,Old,20,1097,5,4,4,4,5,4445,4445,High
8373,Low Education,Adult,Together,24594.0,Lower,1,0,10-12-2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,4,0,0,0,0,0,45,0,1,29,1,0,Adult,5,29,1,1,1,1,1,1111,1111,Low
7533,Middle Education,Adult,Married,49096.0,Middle,1,1,24-09-2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,9,0,0,0,0,0,60,0,2,187,1,0,Adult,13,187,3,5,3,2,3,5323,5323,High
2683,Middle Education,Adult,Married,52413.0,Middle,0,2,02-02-2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,22,0,0,0,0,0,55,0,2,910,1,0,Adult,26,910,3,3,5,4,3,3543,3543,High
3629,Middle Education,Adult,Single,38557.0,Middle,1,0,19-12-2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,7,0,0,0,0,0,46,0,1,145,1,0,Adult,9,145,2,5,2,2,2,5222,5222,High
10991,High Education,Old,Married,89058.0,Upper,0,0,07-12-2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,13,0,0,0,0,0,64,0,0,850,0,0,Old,14,850,5,5,3,4,5,5345,5345,High
5077,Middle Education,Adult,Together,77298.0,Upper,0,1,02-11-2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,23,0,0,0,0,0,45,0,1,969,1,0,Adult,24,969,5,3,5,4,5,3545,3545,High
7431,High Education,Young,Single,68126.0,Middle,0,0,10-11-2012,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,16,0,0,0,0,1,33,2,0,1820,0,1,Young,17,1820,4,3,3,5,4,3354,3354,High
3267,High Education,Old,Together,57288.0,Middle,0,1,25-06-2014,27,527,0,21,0,0,60,3,8,1,8,6,0,1,17,0,0,0,0,0,61,1,1,608,1,0,Old,20,608,3,4,4,3,3,4433,4433,High
999,Middle Education,Young,Single,86037.0,Upper,0,0,02-01-2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,24,1,0,0,0,1,33,3,0,730,0,1,Young,25,730,5,1,5,4,5,1545,1545,Low
9215,High Education,Young,Married,43974.0,Middle,1,0,12-12-2012,19,378,0,101,0,0,72,5,6,4,6,7,0,0,16,0,0,0,0,0,44,0,1,551,1,0,Young,21,551,2,5,4,3,2,5432,5432,High
2286,Middle Education,Old,Single,50785.0,Middle,1,1,10-09-2013,27,64,1,21,0,1,27,2,2,1,3,6,0,0,6,0,0,0,0,0,62,0,2,114,1,0,Old,8,114,3,4,2,2,3,4223,4223,High
1592,Middle Education,Adult,Married,90765.0,Upper,0,0,24-01-2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,15,1,1,0,0,0,54,2,0,1724,0,0,Adult,15,1724,5,4,3,5,5,4355,4355,High
367,Low Education,Adult,Married,36550.0,Middle,1,0,19-02-2013,74,47,90,94,123,103,120,5,9,1,5,9,0,0,15,0,0,0,0,0,46,0,1,577,1,0,Adult,20,577,2,2,4,3,2,2432,2432,Medium
5234,Low Education,Adult,Together,30753.0,Lower,1,1,11-07-2013,85,12,5,25,0,9,30,2,1,1,3,5,0,0,5,0,0,0,0,0,57,0,2,81,1,0,Adult,7,81,1,1,1,2,1,1121,1121,Low
9862,Middle Education,Adult,Together,21918.0,Lower,1,0,14-11-2013,37,1,6,7,11,5,3,2,2,0,3,6,0,0,5,0,0,0,0,0,55,0,1,33,1,0,Adult,7,33,1,4,1,1,1,4111,4111,High
9805,High Education,Old,Together,56129.0,Middle,0,1,20-06-2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,18,0,0,0,0,0,71,0,1,660,1,0,Old,22,660,3,2,4,4,3,2443,2443,Medium
6205,High Education,Adult,Single,32557.0,Lower,1,0,24-02-2014,13,34,3,29,0,4,10,3,2,1,3,5,0,0,6,0,0,0,0,1,57,1,1,80,1,1,Adult,9,80,2,5,2,2,2,5222,5222,High
8442,High Education,Young,Married,19510.0,Lower,2,0,04-09-2013,63,9,0,7,3,4,7,2,1,0,3,7,0,0,4,0,0,0,0,0,39,0,2,30,1,0,Young,6,30,1,2,1,1,1,2111,2111,Medium
7386,Middle Education,Adult,Single,30992.0,Lower,1,0,22-04-2013,83,17,0,14,7,3,2,1,1,0,3,7,0,0,4,0,0,0,0,0,48,0,1,43,1,0,Adult,5,43,1,1,1,1,1,1111,1111,Low
7215,Middle Education,Young,Single,101970.0,Upper,0,0,12-03-2013,69,722,27,102,44,72,168,0,6,8,13,2,0,1,27,1,1,0,0,1,41,4,0,1135,0,1,Young,27,1135,5,2,5,4,5,2545,2545,Medium
1491,Low Education,Adult,Together,71488.0,Upper,0,0,18-02-2013,87,162,33,124,40,28,172,2,3,4,7,1,0,0,14,0,0,0,0,0,59,0,0,559,0,0,Adult,16,559,4,1,3,3,4,1334,1334,Low
11071,Middle Education,Young,Single,79607.0,Upper,0,0,21-04-2013,37,450,133,951,173,0,216,1,3,6,6,1,0,0,15,0,0,0,0,1,40,1,0,1923,0,1,Young,16,1923,5,4,3,5,5,4355,4355,High
3381,High Education,Old,Married,54348.0,Middle,1,1,08-06-2014,51,70,0,16,0,0,4,2,2,0,4,6,0,0,6,0,0,0,0,0,71,0,2,90,1,0,Old,8,90,3,3,2,2,3,3223,3223,High
11051,High Education,Old,Together,77376.0,Upper,1,1,10-05-2014,72,492,19,110,16,12,12,4,6,3,10,4,0,0,19,0,0,0,0,0,68,0,2,661,1,0,Old,23,661,5,2,5,4,5,2545,2545,Medium
